typ;name;aadr;eadr;sadr;dir;file;md5;doublette
B;HASECENTRONICS;2BC0;3490;0000;z1013/Sammlung IGD/igd22b KC-BASIC+ 4;B.HASE CENTRONICS.z80;c86e97318916a4ed51e8d2bb78902582;N
B;STAR;2BC0;74F3;0302;z1013/a_ziermann/games;B.STAR.z80;e9010798382d4e52096bed7bae8f1e2d;N
C;HACKER.COM;0100;C4C0;0100;z1013/Sammlung IGD/igd24b CPM 4;C.HACKER.COM.z80;8beea18927811653c7e2b22302fa7073;N
Q;BIOS12V16;3001;7708;0000;z1013/Sammlung IGD/igd11b MC 3;Q.BIOS12V16.z80;ed60640bc0c79eb3d3947780236ab9d4;N
I;C-TEST.DOC;0800;1598;0000;z1013/Sammlung IGD/igd13b Text 2;I.C-TEST.DOC.z80;156580895182de2c5d17cafe44980d20;N
B;MAIN-KC-IF;2BC0;2E8E;0000;z1013/a_ziermann/lang/basic;B.MAIN-KC-IF.z80;565ccbff8c306032cf13f4a88ac1c49b;N
B;FRAKTALE;2BC0;4070;0000;z1013/Sammlung IGD/igd05a KC-Basic+ 1;B.FRAKTALE.z80;cbfd1d7810beab5663cf0e980f4f4011;N
F;Z80-ForthAs6;3400;35FF;0200;z1013/Tagungskassetten/Tagungskassette Leipzig Nachtagung Nov. 1989/a;F.Z80 - Forth As6.z80;48c04b20be71b62f7cef33bf1c5a5ebb;N
C;MINEFIELD2.1;0100;1000;0100;z1013/Sammlung IGD/igd15a MC 4;C.MINEFIELD 2.1.z80;bac27292f8f61a63f62c5434bd0e1f8c;N
b;PUNKTESPIEL1;1000;3830;0000;z1013/Sammlung IGD/igd04a TINY 2;b.PUNKTESPIEL 1.z80;db5a2a568692ab2cae7d1f0f48e4f8d4;N
B;SNAKE;2BC0;3BE1;0000;z1013/Sammlung IGD/igd05a KC-Basic+ 1;B.SNAKE.z80;9b83c7ac537a401d49707208a785b75c;N
C;ALF.C;0100;0E3F;0100;z1013/a_ziermann/unsorted2/play;C.ALF.C.z80;ccfaaaffa123508fa7fc03cda29b2261;N
P;ENQUIRY;4858;4B44;0000;z1013/a_ziermann/lang/pascal;P.ENQUIRY (enquiry).z80;c293bfbc8be85f1d666e7adfd2f17025;N
M;HACKER;A300;EBFF;B300;z1013/Sammlung IGD/igd28b MC 9;M.HACKER.z80;8d26dba627af2185cdec165b8ac3d339;N
C;TRBO+RD+HPRT+SM;E000;EBFF;E400;z1013/Sammlung IGD/igd06b MC 1;C.TRBO+RD+HPRT+SM.z80;1116fac2ebcc9fd8fe15027ec466f5a9;N
b;ZAHLRATEN1;1000;1590;0000;z1013/Sammlung IGD/igd03b TINY 1;b.ZAHLRATEN 1.z80;6666235bb20341893fe39358551bbd98;N
C;HEADERDISK45;D800;DFFF;D81B;z1013/a_ziermann/sonst;C.HEADERDISK 45.z80;64cac2ffac27fc3c876ae6fbabfd10ad;N
I;SPRUNGVERTEILER;2000;34D6;0000;z1013/Tagungskassetten/Tagungskassette Leipzig Nachtagung Nov. 1989/b;I.SPRUNGVERTEILER.z80;9478cb1dc5c84519ae330ac316889c18;N
T;HexDump1.01+02;3000;6057;0000;z1013/Sammlung IGD/igd20b Text;T.HexDump1.01+02.z80;59857cfae495ba3906ab3b0b8ab159b6;N
I;ARB.ZELLEN;3000;3A30;0000;z1013/Sammlung IGD/igd26a Text 5;I.ARB.ZELLEN.z80;534c5deffd508871b8ab83c6bb8b6433;N
C;RTTY;1000;14FF;1000;z1013/Sammlung IGD/igd07a MC 2;C.RTTY.z80;7356dd6e076085653f47077542af8bfe;N
C;MicroWORD1.5VP;0100;1802;0100;z1013/Tagungskassetten/Tagungskassette Jena 1991/a;C.MicroWORD 1.5 VP.z80;72128dd2548c8a9e113db923d7d2a9b1;N
B;SPIRALE;2900;2A1A;022D;z1013/Sammlung IGD/igd07a MC 2;B.SPIRALE.z80;3f9baab0a010553b61cc708637f042ec;N
C;HEARTRUNNERRB;0100;0800;0100;z1013/Sammlung IGD/igd01a Games;C.HEARTRUNNER RB.z80;579ecca898c4f7fc15dc4b685663379d;N
s;JO1;4000;43B0;7FFF;z1013/a_ziermann/nu/joyinit;s.JO1.z80;74c8c877ad8876cca8e5628274443ee8;N
C;KC-BASICm+;0100;2AFF;0300;z1013/a_ziermann/lang/basic;C.KC-BASIC m+.z80;011c3ad95e307df5fe68c9e465c684b6;N
C;KC-BASICm+;0100;2AFF;0300;z1013/Sammlung IGD/igd09a MC;C.KC-BASIC m+ (KC-BASIC m+).z80;011c3ad95e307df5fe68c9e465c684b6;J
I;maintapeV4.5;1800;3206;0000;z1013/a_ziermann/unsorted1;I.maintape V4.5.z80;57ad420912b9c8917ab5f1ca1f6561a6;N
B;OTHELLO;2BC0;4352;0000;z1013/a_ziermann/games;B.OTHELLO.z80;c9ec8623742387b76ede7386448b54a6;N
C;EDAS/4;0100;181B;0100;z1013/Sammlung IGD/igd09b MC;C.EDAS_4.z80;a5b21430b97b1b474133a04d32f311d8;N
C;MINI-SCPA.2;C800;E3FF;DE00;z1013/Sammlung IGD/igd19a MC 7;C.MINI-SCP A.2.z80;108c3d226870763d30c9d19c2b45e62c;N
B;LEBENSZE.B;03C0;1068;03C0;z1013/a_ziermann/unsorted2/play;B.LEBENSZE.B.z80;3e7d0a6b64e706f39fd5a9a2d83ef958;N
C;GENSHEADERCEN;0100;2330;0100;z1013/Sammlung IGD/igd17b MC 6;C.GENS HEADER CEN.z80;5808f69dddf144a9df2ced3849ca1190;N
B;SUPERTRUCKER/G&A;2BC0;5D00;0000;z1013/a_ziermann/games;B.SUPERTRUCKER_G&A.z80;f3e85e3cb7aa79325a57578236f85247;N
S;PLOTTER.A;3000;43F5;0000;z1013/a_ziermann/unsorted2/tools;S.PLOTTER.A.z80;43dfc6023a0acb2e29f60dc63c9a1006;N
T;MONS3Mshort;1800;22A6;0000;z1013/Sammlung IGD/igd14a Text 3;T.MONS3M short.z80;eea84208c8c4adc5d4f2dc8d6ae33c84;N
T;OC-EDITO.I;0800;2DCB;0000;z1013/a_ziermann/unsorted2/info;T.OC-EDITO.I.z80;6f20b9354400faccbf9adc343911e286;N
C;MWORD.ALPHA;0100;1488;0100;z1013/Sammlung IGD/igd11b MC 3;C.MWORD.ALPHA.z80;07a96996a8b4378a740218c2aeda5530;N
b;TEL/ADR1;1000;20B1;0000;z1013/Sammlung IGD/igd03b TINY 1;b.TEL_ADR 1.z80;da0ec6fed6c7e645bc9606481d7f493b;N
s;JO6;4000;4501;7FFF;z1013/a_ziermann/nu/joyinit;s.JO 6.z80;361afb1c8d05e7fb37e7b1686fd8738b;N
M;TALKMASTER->BO;01B0;0290;0100;z1013/Sammlung IGD/igd28b MC 9;M.TALKMASTER-_BO.z80;ca034f6b2137851603e4c31e3a5a27f1;N
B;REM-LISTING;2BC0;3198;0302;z1013/Sammlung IGD/igd05b KC-Basic+ 1;B.REM-LISTING.z80;d83c3b8f2c51f45fe47b43b3024a12c1;N
B;CHEMIEPRUEFUNG;2BC0;3AA8;0000;z1013/a_ziermann/lang/basic;B.CHEMIEPRUEFUNG.z80;8704fdcf9d0aa92d129b33f9991fea06;N
b;TURMVONHANOI;1000;17AD;FF00;z1013/m0111 Z1013 BASIC;b.TURM VON HANOI.z80;9b0c04cfa4619780424a6c27428076f5;N
C;TEXTLESERMH;0100;06FF;0100;z1013/Sammlung IGD/igd23b MC 8;C.TEXTLESER MH.z80;2544afe18063af61df84d226845af381;N
B;MAIN-KC-IF;2BC0;2E8E;0000;z1013/a_ziermann/unsorted3;B.MAIN-KC-IF.z80;18ced74b26e41026bd8cb29a5d18b564;N
I;HEADERWRITE1.0^;0800;1819;0000;z1013/Sammlung IGD/igd13a Text 2;I.HEADERWRITE 1.0^.z80;dfec2758878fbaef59da81535ccd4ab4;N
I;maintape4.3;1800;3F03;0000;z1013/m.duchrow;I.maintape 4.3.z80;a20ae1045057278127fd684c82c8c2d0;N
P;KURVE-GRAF;4858;4DB5;0000;z1013/a_ziermann/lang/pascal;P.KURVE-GRAF.z80;a91095a756c8d94320223bfae6b2e68d;N
I;TAPECOPYBESCHR.;5000;58D1;0100;z1013/Sammlung IGD/igd19a MC 7;I.TAPECOPY BESCHR..z80;f74f397386b872545824e97b1dd4586c;N
C;SCPEXT.RF1.6K;C800;E365;DE00;z1013/Sammlung IGD/igd09b MC;C.SCP EXT.RF 1.6 K.z80;a78d49b06d4a88d0b61db57235893e62;N
I;KONV.7+...;3000;3CF3;0000;z1013/Sammlung IGD/igd26a Text 5;I.KONV.7+....z80;c8bc14bae798bfb0a630c27fec0998ea;N
S;IIC-HEAR.A;3000;330C;0000;z1013/a_ziermann/unsorted2/tools;S.IIC-HEAR.A.z80;6e0b1d18ab33fd7ae8d3be6394d0cf88;N
s;23STUECK;4000;4BFE;7FFF;z1013/a_ziermann/lang;s.23STUECK.z80;89b42012a1fa21ceb7de42389d3de931;N
C;GENS(100/11A);0100;2100;1F00;z1013/Sammlung IGD/igd16a MC 5;C.GENS (100_11A).z80;ebbc97ee5d0daaef0d12b877e68afc2e;N
I;Edas1.1A+D+H;0800;1FE1;0000;z1013/Sammlung IGD/igd13a Text 2;I.Edas 1.1 A+D+H.z80;0a278cdc75ac3cd55a10c040f3da34b2;N
I;MONERSU1.31k;0800;247C;0000;z1013/Tagungskassetten/Tagungskassette Leipzig Nachtagung Nov. 1989/b;I.MONER SU 1.31 k.z80;77181333bbcdcd023ffb9e721c1af332;N
M;L80.COM;0100;2B7F;0043;z1013/Sammlung IGD/igd18a CPM 2;M.L80.COM.z80;7c5042395c0977672b876d445c3e0123;N
C;CENTRONICDRUCK;E800;E870;E810;z1013/a_ziermann/nu;C.CENTRONIC DRUCK.z80;b81d6ab351d7b34c3ca2dd37895d34a4;N
C;DEBUGGER;C700;DFFF;C700;z1013/a_ziermann/lang;C.DEBUGGER.z80;d47cb958dcfe5759466408ad50adcd89;N
C;DEBUGGER;C700;DFFF;C700;z1013/Sammlung IGD/igd16b MC 5;C.DEBUGGER.z80;d47cb958dcfe5759466408ad50adcd89;J
M;SDI;0100;4000;0103;z1013/Sammlung IGD/igd28b MC 9;M.SDI.z80;00bb3cec1220aa9c4fca438e97d041e4;N
C;OC-EDITOR4.1NH;4000;5DFF;4000;z1013/Sammlung IGD/igd16b MC 5;C.OC-EDITOR 4.1 NH.z80;5db49c4bf2549783a1c56d2b4ae12b6f;N
b;TASTATURANALYSE;1000;1456;0000;z1013/Sammlung IGD/igd04b TINY 2;b.TASTATURANALYSE.z80;ef3910336b8b8740a138dc123170025a;N
b;HAUS1;1000;26E5;0000;z1013/Sammlung IGD/igd03a TINY 1;b.HAUS 1.z80;5adda51a47f0b438c49d05ab41ce4d93;N
B;EAST30/5;2BC0;4B1E;0000;z1013/a_ziermann/lang/basic/east;B.EAST30_5.z80;328b5293c194657c58f62420936fc424;N
B;SEXQUOTIENT;2BC0;514B;00E0;z1013/Sammlung IGD/igd08a KC-Basic+ 2;B.SEXQUOTIENT.z80;be2ef5944c3be7df1158bcc35ef51dd8;N
I;LOGIKANALYSATOR;2000;2E7D;0000;z1013/Tagungskassetten/m0191 Softwarebörse 1987/b;I.LOGIKANALYSATOR.z80;b391bdb7152bdb1a236bab2c78c1df51;N
 ;DBASE.COM;0100;4DFF;0077;z1013/Sammlung IGD/igd27a CPM 5;_.DBASE.COM.z80;226a767386df432f9bd991def051cfd7;N
C;JUMPING-JACK+Joy;0100;0DA8;0100;z1013/a_ziermann/games/joy;C.JUMPING-JACK+Joy.z80;2358b2992be5a7fef67f2e2948fa8ea7;N
I;KC-BASICm1;0800;49F1;0000;z1013/Tagungskassetten/Tagungskassette Leipzig Nachtagung Nov. 1989/b;I.KC-BASIC m1.z80;a90ed1f0cb31e74b7e8ab56ff3c0bb4d;N
T;BCODE10-18;1800;4A40;0100;z1013/Sammlung IGD/igd20b Text;T.BCODE10-18.z80;5a53ffecba32ce4186a21f8ebfc03c2e;N
B;FIBONACC.BAS;2BC0;2D0C;0000;z1013/a_ziermann/unsorted2/Lost&found;B.FIBONACC.BAS.z80;26c720f668721929d6c56e5da40cd5e6;N
C;10KBASIK+SKEET;0100;3FFF;0302;z1013/Sammlung IGD/igd01a Games;C.10K BASIK+SKEET.z80;84f4d3eacc29226447c80d94a548b5cd;N
C;HEXDUMP;0100;0150;0100;z1013/Sammlung IGD/igd07b MC 2;C.HEXDUMP.z80;12f665749caaaa5a9dd2a029feef85de;N
I;HDISKCOPY1.6;3100;6220;0000;z1013/a_ziermann/unsorted1;I.HDISKCOPY 1.6.z80;06f207becd966dfe7396c75d8f7a69be;N
B;DRUCK85/3;2BC0;35EA;0000;z1013/Sammlung IGD/igd22b KC-BASIC+ 4;B.DRUCK85_3.z80;a1421302cac37eb22f38b75445ebfcc4;N
I;MINDOK;3000;3D6F;0000;z1013/Sammlung IGD/igd20b Text;I.MINDOK.z80;5e4339f25938de8df34370624bcf76a4;N
C;RF-TEST5.0;0100;055C;0100;z1013/a_ziermann/sonst;C.RF-TEST 5.0.z80;2e48703198e098e7335b86a1ad2df571;N
M;KP.HLP;0100;217F;0100;z1013/Sammlung IGD/igd21b CPM 3;M.KP.HLP.z80;e66c02c6007a3b4a30e19697227d94c4;N
T;MONS3MKURZ;0E00;2060;0000;z1013/Sammlung IGD/igd10b Text 1;T.MONS3M KURZ.z80;9529fb8a42e82b36b1a0b486cd93a4d7;N
C;HEADER-MENUE4;E000;E8FF;E400;z1013/a_ziermann/nu;C.HEADER-MENUE 4.z80;d231a50b89f9e035d3900e2b8e0a7177;N
C;HEADER-MENUE4;E000;E8FF;E400;z1013/Sammlung IGD/igd17b MC 6;C.HEADER-MENUE 4.z80;d231a50b89f9e035d3900e2b8e0a7177;J
C;Rubic'sCubes;0200;220F;0200;z1013/Tagungskassetten/Tagungskassette Jena 1991/a;C.Rubic's Cubes.z80;3ee361c132ba87050e7decf9108373d3;N
B;ELIZAD;2BC0;47A1;0300;z1013/Sammlung IGD/igd05a KC-Basic+ 1;B.ELIZA D.z80;10464bfeb28ef8d24bcf412a7026c12e;N
B;Hauptstaedte;2BC0;3DB2;0000;z1013/Sammlung IGD/igd05a KC-Basic+ 1;B.Hauptstaedte.z80;0c4d53f955ba39ac6df03991bd2253ab;N
C;ED81;8000;A2FF;8000;z1013/a_ziermann/lang;C.ED81.z80;753bbea1015fd3b535d1490e513b6eea;N
C;RF-TEST_.C;0100;055C;0100;z1013/a_ziermann/unsorted2/use;C.RF-TEST_.C.z80;185d1548e461e7bac2ef973947aa0aba;N
D;VTEXT.ZS;8A00;9000;0000;z1013/a_ziermann/unsorted2/Lost&found;D.VTEXT.ZS.z80;3f946208d19a5fa35c6771eae7cc8610;N
D;VIDEOTEX.Z;8A00;9000;0000;z1013/a_ziermann/unsorted2/tools;D.VIDEOTEX.Z.z80;3f946208d19a5fa35c6771eae7cc8610;J
I;CYRUS-CHESSV.2;0800;1BDD;0000;z1013/Tagungskassetten/Tagungskassette Jena 1991/b;I.CYRUS-CHESS V.2.z80;93c1f710b8a29cc290adfdcab1a140f1;N
B;MEMORY;2BC0;305D;0302;z1013/Sammlung IGD/igd22a KC-BASIC+ 4;B.MEMORY.z80;317e11ff4e2be0d8178e5e1a990f1221;N
C;MTAPE5.4-A.2M;E000;E55F;E545;z1013/Sammlung IGD/igd17b MC 6;C.MTAPE5.4-A.2M.z80;ea39b8f8cdeb4b13ca19d2d4ba6597ad;N
B;ENTROPIA;03C0;7B05;0000;z1013/a_ziermann/lang/basic;B.ENTROPIA.z80;0d1675ec91934593cad75c2b560c5b5d;N
M;MON.COM;0100;0AA0;0010;z1013/Sammlung IGD/igd21a CPM 3;M.MON.COM.z80;aeaba10f4a2bcc36dab5dff3977ae4d4;N
I;Z1013-FORTH.DOC;0800;8C9F;0000;z1013/a_ziermann/doc;I.Z1013-FORTH.DOC.z80;6c35d6f8136a652758f859a437409704;N
I;Z1013-FORTH.DOC;0800;8C9F;0000;z1013/Sammlung IGD/igd13b Text 2;I.Z1013-FORTH.DOC.z80;6c35d6f8136a652758f859a437409704;J
I;Z1013-FORTH.DOC;0800;8C9F;0000;z1013/Tagungskassetten/Tagungskassette Leipzig Mai 1989/b;I.Z1013-FORTH.DOC.z80;6c35d6f8136a652758f859a437409704;J
C;MASTERMIND.2;038A;17A3;138A;z1013/a_ziermann/lang/pascal;C.MASTERMIND.2.z80;67cdf891a2e74f8fb7da0d4305afe2f1;N
M;Melodie;1FA0;3040;2000;z1013/Tagungskassetten/Tagungskassette Jena 1991/a;M.Melodie.z80;a7e66c05fe07ec7ec25428d066b65ffa;N
I;FORTH.DOC-T1;1000;437F;0000;z1013/Sammlung IGD/igd14b Text 3;I.FORTH.DOC-T1.z80;7bb7020d34f27d732417ba6dd3109d37;N
M;BASI.COM;0100;5FFF;0095;z1013/Sammlung IGD/igd21a CPM 3;M.BASI.COM.z80;b3227b0c417aea5136146e06ab658336;N
C;EDITEX;0100;0DFF;0112;z1013/Sammlung IGD/igd07a MC 2;C.EDITEX (EDITEX).z80;9e6b0d36704c5956eaf68d2082cc5583;N
T;BESCHR.RF-ALLG.;3000;8C60;0000;z1013/Sammlung IGD/igd20a Text;T.BESCHR.RF-ALLG..z80;96b47c37f18fe3583fcc3af29af15269;N
C;JOYINIT;E100;E300;E100;z1013/a_ziermann/nu/joyinit;C.JOYINIT.z80;6b2269ebe5305cfe8340fec7f3c2b138;N
C;MWORD+ASM+TC1;0100;4455;3000;z1013/Sammlung IGD/igd11b MC 3;C.MWORD+ASM+TC1.z80;0682eed2fcb5fa646aa5fcea754d2775;N
C;AC1-TAPE.C;0100;05AF;0100;z1013/a_ziermann/unsorted2/use;C.AC1-TAPE.C.z80;6cec99cf19968909f674186d7c5c4693;N
B;TEFRAZ1013;2BC0;2DD0;0300;z1013/Sammlung IGD/igd05b KC-Basic+ 1;B.TEFRA Z1013.z80;bb3d6209bdc250425d5a5354af245c38;N
B;KATZE-MAUS;2BC0;38BA;0000;z1013/Tagungskassetten/m0191 Softwarebörse 1987/a;B.KATZE-MAUS.z80;1bc345e80606f564c50e89fc15912d64;N
B;R-L-CFREQUENZG.;2BC0;43A5;0000;z1013/Sammlung IGD/igd05b KC-Basic+ 1;B.R-L-C FREQUENZG..z80;36108c037eaec20cb1723d1fc590a3d3;N
E;Z1013.SURL50.ROM;1000;17FF;0000;z1013/Tagungskassetten/Tagungskassette Leipzig Nachtagung Nov. 1989/a;E.Z1013.SURL50.ROM.z80;7db62792d2fe42cbbbaf7996c0f8222f;N
B;OTHELLO;2BC0;3D51;2B50;z1013/Sammlung IGD/igd05b KC-Basic+ 1;B.OTHELLO.z80;2707955712610e9b4a8d9cfe2fa0fab0;N
C;KC-ROM-BASIC+1.0;C000;EA5F;C000;z1013/a_ziermann/lang/basic;C.KC-ROM-BASIC+1.0.z80;25953f958dd1cce5e1feba45f7778d98;N
E;KC-ROM-BASIC+1.0;1000;3A5F;C000;z1013/Sammlung IGD/igd11b MC 3;E.KC-ROM-BASIC+1.0.z80;25953f958dd1cce5e1feba45f7778d98;J
E;KC-ROM-BASIC+1.0;1000;3A5F;C000;z1013/Tagungskassetten/Tagungskassette Leipzig Nachtagung Nov. 1989/a;E.KC-ROM-BASIC+1.0.z80;25953f958dd1cce5e1feba45f7778d98;J
B;LADDER;2BC0;6316;2BC0;z1013/Sammlung IGD/igd05b KC-Basic+ 1;B.LADDER.z80;fae04a4bdac33e1b98ebda2dfc633fc2;N
C;AUTO(CURSOR);1000;14E0;1000;z1013/Sammlung IGD/igd01b Games;C.AUTO (CURSOR).z80;79e6a05afc694c10ab92ccfc6aced4db;N
C;BASCODER+DEMO;0100;58D9;0302;z1013/Sammlung IGD/igd28a MC 9;C.BASCODER+DEMO.z80;9e60900ca0a46410399656208adad6c0;N
I;HDISKCOPY1.4-2;3100;608E;0000;z1013/Sammlung IGD/igd14b Text 3;I.HDISKCOPY 1.4-2.z80;43d8ac79f4068cdcc7281494bd3a8436;N
C;EMR-REASS.;4000;47FF;4560;z1013/a_ziermann/lang;C.EMR-REASS..z80;dde55c1a89c6d58476daf1df90952788;N
C;EMR-REASS.;4000;47FF;4560;z1013/Sammlung IGD/igd16b MC 5;C.EMR-REASS..z80;dde55c1a89c6d58476daf1df90952788;J
C;HEADERSAVE5.95;E000;E3FF;E3EE;z1013/Tagungskassetten/Tagungskassette Leipzig Mai 1989/a;C.HEADERSAVE 5.95.z80;24549f1961ea1e33b9f667d8bc2d9f08;N
C;HEADERSAVE5.95;E000;E3FF;E3EE;z1013/Tagungskassetten/Tagungskassette Leipzig Nachtagung Nov. 1989/a;C.HEADER SAVE 5.95.z80;24549f1961ea1e33b9f667d8bc2d9f08;J
B;TIPS;2BC0;3CB0;0300;z1013/Sammlung IGD/igd05b KC-Basic+ 1;B.TIPS.z80;4d6df0ce27b975a7436f94113b1d2164;N
C;U-BOOT;0200;1FFF;0200;z1013/a_ziermann/games;C.U-BOOT.z80;e3f3fe984a11fe8030ebea742bc115c6;N
C;Seeschlacht;0200;1FFF;0200;z1013/Sammlung IGD/igd11a MC 3;C.Seeschlacht.z80;e3f3fe984a11fe8030ebea742bc115c6;J
I;ED81V2.2;3000;494A;0000;z1013/a_ziermann/unsorted1;I.ED81  V2.2.z80;25abc5732a7ef8f733012ce5fa1f442a;N
s;JOYINITV.2;4000;4A52;7FFF;z1013/a_ziermann/nu/joyinit;s.JOYINIT V.2.z80;caec5f54934257bd78a09def8c1576f1;N
b;ZOMBIES;1000;23CF;0000;z1013/Sammlung IGD/igd03a TINY 1;b.ZOMBIES.z80;c505e172bddd667817adccfc084b4625;N
B;MUS.B;2BC0;3F65;0000;z1013/a_ziermann/unsorted2/unsorted/lachetta;B.MUS.B.z80;0b7c514d95c0ea1b876ecf73a2a3e47b;N
C;12K-TDL++S3004;0300;3600;3200;z1013/Sammlung IGD/igd28a MC 9;C.12K-TDL++S3004.z80;366776065d0866d9ab865ce8525bbfc1;N
C;Heartrunner+Joyÿ;0100;0830;0100;z1013/a_ziermann/games/joy;C.Heartrunner+Joyÿ.z80;15af6c719a4d9db802866048ec894cd5;N
I;ASSM;8000;BCFF;0000;z1013/Sammlung IGD/igd26a Text 5;I.ASSM.z80;64ab7b4433d9594851d5efb2d35ae0d6;N
M;TPINSTD.002;0100;11FF;0100;z1013/Sammlung IGD/igd21b CPM 3;M.TPINSTD.002.z80;239450084db8f8234ff3bbc9b7e47405;N
b;U555PROGR.1;1000;1A07;0000;z1013/Sammlung IGD/igd03a TINY 1;b.U 555 PROGR. 1.z80;def348d6e6875be2113c094262461e8c;N
C;RECHNEN.PRG;2BC0;2EC1;0000;z1013/a_ziermann/unsorted2/unsorted/Reinsberger;C.RECHNEN.PRG.z80;12fbf59a733dd5812ca3e7a427243da6;N
B;MAIN-KC-IF;2BC0;2E8E;0000;z1013/a_ziermann/unsorted1;B.MAIN-KC-IF.z80;42423b39aeee6506bc0ae7f8a53d7505;N
T;KB-Adr.01.08.89;1800;5336;0000;z1013/Sammlung IGD/igd13a Text 2;T.KB-Adr.01.08.89.z80;3d72adc8c5292ec840381f7cc2af4f3b;N
B;POLYNOM;2BC0;2F34;0000;z1013/Sammlung IGD/igd08a KC-Basic+ 2;B.POLYNOM.z80;33cc5044cf5480292626efb62c42b09a;N
T;TEDIT9.0DOC;1800;5487;0000;z1013/a_ziermann/unsorted3;T.TEDIT 9.0 DOC.z80;9df3c2304fb0e3f7cc871e96dc6d5a82;N
d;PLSC3.PIC;9000;AFFF;0000;z1013/a_ziermann/unsorted2/Lost&found;d.PLSC3.PIC.z80;f2c11cd0acaa21980d0f5433e3ee0d1e;N
C;Z1013-FORTH;0100;27FF;0100;z1013/a_ziermann/lang/forth;C.Z1013-FORTH.z80;94be7e97dbd47748f2df50af4425297d;N
b;FAHRTR.1;1000;1F42;0000;z1013/Sammlung IGD/igd03b TINY 1;b.FAHRTR.1.z80;ef8626222b43a045f775d23874dad11c;N
M;R80+.COM;5000;707F;0000;z1013/Sammlung IGD/igd24b CPM 4;M.R80+.COM.z80;00ee4c4763d158ef540cae0abe932e2d;N
 ;RAZ80.COM;0100;19FF;0100;z1013/Sammlung IGD/igd24a CPM 4;_.RAZ80.COM.z80;3f4ce0b2fad20faea5fad2de6402bc77;N
C;MICROWORD;0100;3BFF;0000;z1013/a_ziermann/sonst;C.MICROWORD.z80;0b5ef582eaeef0b679ed2dbaec2faec5;N
s;VIALINK2;4000;415B;7FFF;z1013/a_ziermann/unsorted1;s.VIALINK2.z80;e47ac12b3405ef551c955f21013bbdfa;N
b;OTHELLO;1000;2549;0000;z1013/Sammlung IGD/igd03b TINY 1;b.OTHELLO.z80;349fc8a6b4380b1e01c2340ae337f6f2;N
b;OBSTERNTE;1000;2341;0000;z1013/Sammlung IGD/igd03a TINY 1;b.OBSTERNTE.z80;1641563586e4c5249475aec52d33bec3;N
C;HACKER.COM;0100;C4C0;0100;z1013/a_ziermann/games;C.HACKER.COM.z80;20d04bfd90978c0d446da7e7fede0dfc;N
B;LADDER;2BC0;6323;0000;z1013/a_ziermann/games;B.LADDER.z80;17da1460728c76b97207a85d25385e63;N
T;F831.3GLO6;463E;7603;0000;z1013/Tagungskassetten/Tagungskassette Leipzig Nachtagung Nov. 1989/b;T.F83 1.3 GLO 6.z80;c78fbb5e4c930e3f6dc4724f15167cab;N
b;AUTO31;1000;239E;0000;z1013/Sammlung IGD/igd04a TINY 2;b.AUTO 3 1.z80;f4f22160eff7ea7c5c2cd41494442d6e;N
b;**MASTERMIND**1;1000;1861;0000;z1013/Sammlung IGD/igd03b TINY 1;b.MASTERMIND1.z80;cfacda63f90802c2f57281f7a2866c53;N
C;SCHACH.C;2000;3300;2000;z1013/a_ziermann/unsorted2/play;C.SCHACH.C.z80;cec286a8a1292e89d3368f8c5c7a88f7;N
M;M.MAC;0100;599F;0100;z1013/Sammlung IGD/igd27a CPM 5;M.M.MAC.z80;d89362236ff43107de7da5f3f0c5bd48;N
C;BASICV4.1;0300;3000;0300;z1013/Sammlung IGD/igd15b MC 4;C.BASIC V4.1.z80;56d0e242f46e7bd58424de51821e90a1;N
B;PYRAMIDE(laeuft);2BC0;6000;0302;z1013/a_ziermann/games;B.PYRAMIDE(laeuft).z80;d4e0a2b27bd4cd44bb7a909b4abbc012;N
T;Inhalt;1800;2B67;0000;z1013/Tagungskassetten/Tagungskassette Jena 1991/b;T.Inhalt.z80;9561ac3ebfe245512e69b527eef94f37;N
I;ASSEMBLER5.3;2000;3C31;2000;z1013/Tagungskassetten/m0191 Softwarebörse 1987/b;I.ASSEMBLER 5.3.z80;0f9ac0c50466cc0449a8811d7baac0e0;N
C;BASCON-TEST2.0;0100;0EFF;0100;z1013/a_ziermann/lang/basic;C.BASCON-TEST 2.0.z80;499352be601864541b8c1d6677827ef3;N
C;BASCONTEST2.0;0100;0EFF;0100;z1013/Sammlung IGD/igd11a MC 3;C.BASCON TEST 2.0.z80;499352be601864541b8c1d6677827ef3;J
C;BASCON-TEST2.0;0100;0EFF;0100;z1013/Tagungskassetten/Tagungskassette Leipzig Nachtagung Nov. 1989/a;C.BASCON-TEST 2.0.z80;499352be601864541b8c1d6677827ef3;J
B;LICHTER;2BC0;3507;0300;z1013/Sammlung IGD/igd22b KC-BASIC+ 4;B.LICHTER.z80;60e133f4f0094ad33bb4f81caea7084b;N
I;FORTH.DOC-T3;1000;33C7;0000;z1013/Sammlung IGD/igd14b Text 3;I.FORTH.DOC-T3.z80;36470b6449a90e9a31407685cf387965;N
S;TEXTFORM.A;3000;31A0;0000;z1013/a_ziermann/unsorted2/tools;S.TEXTFORM.A.z80;97c2898d69e570d4d974a0a5f96b5caf;N
