typ;name;aadr;eadr;sadr;dir;file;md5;doublette
M;INSTWS3.COM;0100;43FF;0067;z1013/Sammlung IGD/igd18b CPM 2;M.INSTWS3.COM.z80;e97df0a534194e5cc39de7679961fdbb;N
C;KC87-MONITOR;D000;DFFF;D000;z1013/Sammlung IGD/igd07a MC 2;C.KC 87-MONITOR.z80;1eb005de3c072833e961b71ae84d1762;N
M;TPINSTD.001;0100;26FF;0100;z1013/Sammlung IGD/igd21b CPM 3;M.TPINSTD.001.z80;30cf75b6615c3d75a01009e9eb84fc9c;N
I;SUPER-SKI;3000;36CF;0000;z1013/Sammlung IGD/igd10a Text 1;I.SUPER-SKI.z80;540d0d4f4d050739719055f3e8275bce;N
M;CC.COM;0100;36FF;0054;z1013/Sammlung IGD/igd02b CPM 1;M.CC.COM.z80;c6782f93ac318eb3fde307b03255c482;N
C;ORGEL(32);0100;01D0;0100;z1013/a_ziermann/nu;C.ORGEL(32).z80;235741d18a55d710bc22049039fcddc3;N
S;MOUSE.ASM;3000;3342;0000;z1013/a_ziermann/unsorted2/Lost&found;S.MOUSE.ASM.z80;5334cdefa82af550dd3a2f190c0efc35;N
C;TDL-Basic3.5;0100;4300;0100;z1013/Sammlung IGD/igd28a MC 9;C.TDL-Basic 3.5.z80;4d23810e0d265acbb2b3747860a14a56;N
I;UNI-COPY4.2;1800;29A6;D000;z1013/Tagungskassetten/Tagungskassette Leipzig Nachtagung Nov. 1989/b;I.UNI-COPY 4.2.z80;b23e4e350118f1ebfaf6b00285934e62;N
b;GEISTERFAHRT;1000;4000;0000;z1013/Sammlung IGD/igd04b TINY 2;b.GEISTERFAHRT.z80;910aa8afa66956ae089fa43b72a786ac;N
I;CHESS-MASTERH;0800;113C;0000;z1013/a_ziermann/doc;I.CHESS-MASTER H.z80;63f2c83fcc3856aedf561588ef1635d3;N
B;BOALAB;2BC0;35B7;0000;z1013/a_ziermann/games;B.BOALAB.z80;f95fd80b51127ce791992ce0b90c12c0;N
I;STATUSI/O-ADR4;3000;3AA0;0000;z1013/Sammlung IGD/igd10b Text 1;I.STATUS I_O-ADR 4.z80;10d6cae9c3d6ee10aaa7098f44f3b8a3;N
I;STATUSI/O-ADR4;1800;22A0;0000;z1013/Tagungskassetten/Tagungskassette Leipzig Nachtagung Nov. 1989/b;I.STATUS I_O-ADR 4.z80;10d6cae9c3d6ee10aaa7098f44f3b8a3;J
C;tpe-Basic;0100;339F;0300;z1013/a_ziermann/lang/basic;C.tpe-Basic.z80;3e1ac2d786fd4a0949ed083838d3c65c;N
C;RF-TEST00&FFhex;0100;02EA;0100;z1013/Sammlung IGD/igd23b MC 8;C.RF-TEST 00&FFhex.z80;dfa51b0dec4ec7fd1a6d2e9b2dd39448;N
B;REM-KILL;2BC0;2D80;0302;z1013/Sammlung IGD/igd22a KC-BASIC+ 4;B.REM-KILL.z80;8742b26f12783dd90106e7d9e525887b;N
b;23STREICHHOELZER;1000;16E4;FF00;z1013/m0111 Z1013 BASIC;b.23STREICHHOELZER.z80;baa7e47acf99729f7c95d789a7cf0558;N
I;ASM.COMDOC5A;3000;975A;0000;z1013/Sammlung IGD/igd30a Text 6;I.ASM.COM DOC5A.z80;2b3bf7a870fbae295f710adc7c78323d;N
C;LABYRINT;0100;3FFF;0645;z1013/a_ziermann/unsorted3;C.LABYRINT.z80;db63d4e8a345e2d834ec7533ab642d4b;N
T;EDAS.I;1800;265D;0000;z1013/a_ziermann/unsorted2/info;T.EDAS.I.z80;881cbe69016b5bfe9ce7961ddb4b7865;N
C;HEADERSAVE5.95;7C00;7FFF;7FEE;z1013/a_ziermann/nu;C.HEADERSAVE 5.95 (headersave_5_95).z80;d732e5058cdae6147d6590c43c935b77;N
I;HEADERDISK45;3000;3AC8;0000;z1013/Tagungskassetten/Tagungskassette Leipzig Mai 1989/b;I.HEADERDISK 45.z80;038fc0d688a328b30c7a7f8c8ac0595d;N
T;HDISKCOPY1.61;1800;49FB;0000;z1013/Sammlung IGD/igd20b Text;T.HDISKCOPY 1.61.z80;82c1b7d3d9411e92801c9c0c74e40e91;N
C;Speichers./Hu;0100;0240;0100;z1013/Sammlung IGD/igd17a MC 6;C.Speichers._Hu.z80;3ac2f6e84576a2aaaf170e092f505571;N
B;ZEICHENPROGRAMM;2BC0;32F1;0300;z1013/Sammlung IGD/igd08b KC-Basic+ 2;B.ZEICHENPROGRAMM.z80;f8a3817c4e5cda5437606a4b5b9bc39b;N
